,1,3,11,50,55,62,70,72
1,0,1.9,20.6,14.6,7.7,7.8,9.5,15.6
3,2.4,0,18.5,13.3,6.1,8,18,14.8
11,20.8,19.1,0,7.9,13.3,14.7,18.3,15.6
50,15.2,13.3,8.3,0,7.4,8.8,13.5,12.2
55,8,6.5,13.6,7.5,0,4,13.6,17.8
62,8.2,8.4,14.7,9.4,3.5,0,16.8,20.2
70,10.7,23,18.3,11.9,13.4,16.8,0,3.5
72,19.1,16.3,16.3,14,17.5,23.2,3.5,0
,,,,,,,,
,1,3,11,50,55,62,70,72
1,0,0.83,0.75,0.516666667,0.333333333,0.3,0.366666667,0.566666667
3,0.001666667,0,0.716666667,0.483333333,0.25,0.35,0.143333333,0.483333333
11,0.833333333,0.766666667,0,0.316666667,0.533333333,0.583333333,0.616666667,0.55
50,0.566666667,0.466666667,0.316666667,0,0.3,0.366666667,0.416666667,0.4
55,0.35,0.266666667,0.55,0.333333333,0,0.2,0.416666667,0.55
62,0.366666667,0.333333333,0.583333333,0.416666667,0.166666667,0,0.516666667,0.65
70,0.45,0.161666667,0.633333333,0.383333333,0.45,0.566666667,0,0.133333333
72,0.666666667,0.566666667,0.566666667,0.483333333,0.55,0.7,0.133333333,0
,,,,,,,,
,1,3,11,50,55,62,70,72
,0,250,76,320,34,56,87,54
,,,,,,,,
,1,3,11,50,55,62,70,72
,0,45,32,43,56,78,23,45
,,,,,,,,
,1,3,11,50,55,62,70,72
,,7,8,7,8,7,8,7
,1,3,11,50,55,62,70,72
,,13,16,13,16,13,16,13
