,3,5,11,50,57,62,70,72
3,0,3.8,18.5,13.3,5.8,8,18,14.8
5,4.5,0,17.2,11.1,6.2,4.8,13.3,19.4
11,19.1,17.2,0,7.9,15.3,14.7,18.3,15.6
50,13.3,10.8,8.3,0,8.8,8.8,13.5,12.2
57,7,6.4,15.1,8.8,0,7.7,9.4,12.9
62,8.4,5.1,14.7,9.4,7.1,0,16.8,20.2
70,23,13.2,18.3,11.9,9.4,16.8,0,3.5
72,16.3,19.7,16.3,14,13.6,23.2,3.5,0
,,,,,,,,
,3,5,11,50,57,62,70,72
3,0,0.166666667,0.716666667,0.483333333,0.233333333,0.35,0.143333333,0.483333333
5,0.2,0,0.666666667,0.433333333,0.233333333,0.2,0.433333333,0.583333333
11,0.766666667,0.633333333,0,0.316666667,0.566666667,0.583333333,0.616666667,0.55
50,0.466666667,0.416666667,0.316666667,0,0.3,0.366666667,0.416666667,0.4
55,0.266666667,0.166666667,0.55,0.333333333,0.166666667,0.2,0.416666667,0.55
57,0.266666667,0.25,0.583333333,0.333333333,0,0.333333333,0.333333333,0.45
70,0.161666667,0.45,0.633333333,0.383333333,0.316666667,0.566666667,0,0.133333333
72,0.566666667,0.6,0.566666667,0.483333333,0.45,0.7,0.133333333,0
,,,,,,,,
,3,5,11,50,57,62,70,72
,0,276,47,197,56,98,23,90
,,,,,,,,
,3,5,11,50,57,62,70,72
,0,76,32,84,78,56,170,152
,,,,,,,,
,3,5,11,50,57,62,70,72
,,8,8,8,7,7,7,7
,3,5,11,50,57,62,70,72
,,10,10,10,9,15,17,13
